skaterFullName,playerId,season,y_test,y_pred
Mario Ferraro,8479983,20242025,9.0,37.92027
Jack Quinn,8482097,20242025,11.0,37.876583
Adam Henrique,8474641,20242025,8.0,37.843925
Damon Severson,8476923,20242025,11.0,37.83884
Ben Chiarot,8475279,20242025,9.0,37.634647
Brett Kulak,8476967,20242025,4.0,37.597603
Denton Mateychuk,8483485,20242025,18.0,37.563026
Yanni Gourde,8476826,20242025,9.0,37.549377
Noah Cates,8480220,20242025,14.0,37.43728
Evan Rodrigues,8478542,20242025,13.0,37.357132
Michael Bunting,8478047,20242025,14.0,37.336895
Thomas Novak,8478438,20242025,9.0,37.1851
Braden Schneider,8482073,20242025,9.0,37.023243
Alex Turcotte,8481532,20242025,3.0,36.82351
Maxim Tsyplakov,8484958,20242025,2.0,36.759327
Rasmus Sandin,8480873,20242025,14.0,36.739388
Michael Amadio,8478020,20242025,15.0,36.508835
Cody Ceci,8476879,20242025,11.0,35.957287
Zachary Bolduc,8482737,20242025,10.0,35.900967
Brayden McNabb,8475188,20242025,2.0,35.823128
Alex Killorn,8473986,20242025,6.0,35.762108
Henri Jokiharju,8480035,20242025,6.0,35.626907
Eetu Luostarinen,8480185,20242025,13.0,35.472515
Jalen Chatfield,8478970,20242025,6.0,34.99025
Matt Roy,8478911,20242025,4.0,34.95859
Dylan DeMelo,8476331,20242025,17.0,34.957882
Nick Bjugstad,8475760,20242025,9.0,34.820923
Michael Rasmussen,8479992,20242025,7.0,34.68283
Gustav Nyquist,8474679,20242025,5.0,34.67435
Adam Gaudette,8478874,20242025,9.0,34.60713
Mackie Samoskevich,8482713,20242025,11.0,34.578762
Conor Timmins,8479982,20242025,8.0,34.398037
Erik Cernak,8478416,20242025,4.0,34.36703
Jonas Siegenthaler,8478399,20242025,4.0,34.2496
Bobby Brink,8481553,20242025,14.0,34.228523
Connor Brown,8477015,20242025,11.0,34.21373
Drew Helleson,8481563,20242025,20.0,34.170277
Shakir Mukhamadullin,8482166,20242025,8.0,34.16909
Alexandre Carrier,8478851,20242025,13.0,34.13554
Jared Spurgeon,8474716,20242025,9.0,34.128437
Drew O'Connor,8482055,20242025,12.0,34.061058
Logan Mailloux,8482733,20242025,0.0,33.677704
Ross Colton,8479525,20242025,11.0,33.645397
Ilya Mikheyev,8481624,20242025,11.0,33.572193
Vladislav Namestnikov,8476480,20242025,13.0,33.38771
Declan Chisholm,8480990,20242025,2.0,33.27528
Brandon Carlo,8478443,20242025,4.0,33.25393
Timothy Liljegren,8480043,20242025,8.0,33.15192
Chris Tanev,8475690,20242025,4.0,33.119747
Fedor Svechkov,8482768,20242025,1.0,33.08777
Jamie Drysdale,8482142,20242025,18.0,33.0252
Jonny Brodzinski,8477380,20242025,3.0,33.023106
Andrew Peeke,8479369,20242025,8.0,32.983433
Nick Seeler,8476372,20242025,4.0,32.91344
Jamie Oleksiak,8476467,20242025,12.0,32.791534
Joel Farabee,8480797,20242025,9.0,32.66976
Justin Brazeau,8479638,20242025,18.0,32.615665
Kevin Stenlund,8478831,20242025,4.0,32.39412
Anthony Beauvillier,8478463,20242025,8.0,32.32509
Joel Hanley,8477810,20242025,6.0,32.23032
Marcus Foligno,8475220,20242025,1.0,32.195698
Matias Maccelli,8481711,20242025,12.0,32.189465
Zach Whitecloud,8480727,20242025,4.0,32.095943
Keegan Kolesar,8478434,20242025,3.0,32.036823
Colin Miller,8476525,20242025,0.0,32.035427
Ryker Evans,8482858,20242025,5.0,31.99052
Connor Clifton,8477365,20242025,0.0,31.93189
Ilya Lyubushkin,8480950,20242025,8.0,31.91863
Tyler Myers,8474574,20242025,9.0,31.910223
Bobby McMann,8482259,20242025,13.0,31.89715
Scott Laughton,8476872,20242025,0.0,31.715591
J.J. Moser,8482655,20242025,9.0,31.657707
Lukas Reichel,8482117,20242025,7.0,31.650913
Will Borgen,8478840,20242025,7.0,31.365171
Luca Del Bel Belluz,8483432,20242025,1.0,31.104118
Victor Olofsson,8478109,20242025,22.0,31.073233
Josh Anderson,8476981,20242025,7.0,30.932981
Jayden Struble,8481593,20242025,8.0,30.844875
Nicolas Hague,8479980,20242025,7.0,30.791313
Mattias Samuelsson,8480807,20242025,17.0,30.789103
Freddy Gaudreau,8477919,20242025,1.0,30.788864
Mavrik Bourque,8482145,20242025,8.0,30.745247
Mason Appleton,8478891,20242025,10.0,30.611734
Nino Niederreiter,8475799,20242025,15.0,30.600677
Tanner Pearson,8476871,20242025,7.0,30.390142
