assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,season,hat_tricks,fantasy_points,target,season_start_year,height,weight,age,rookie_year,overall_pick
40,21,44,0.31428,5,53,29,Marchand,1,46,8473419,26,69,1.30188,L,4,18,20202021,4,7,0.20279,L,143,Brad Marchand,BOS,1134.6226,20202021,1,101,115.0,2020,175.0,82.0,32.0,0.0,71.0
3,0,3,,0,13,0,Biega,0,4,8473415,-1,3,0.23076,D,0,0,20202021,0,0,0.0,R,4,Alex Biega,DET,639.6923,20202021,0,6,0.0,2020,178.0,88.0,32.0,0.0,147.0
4,1,5,,0,55,1,Greene,0,6,8472382,9,5,0.0909,D,0,0,20202021,0,0,0.02,L,50,Andy Greene,NYI,1054.6727,20202021,0,11,22.0,2020,180.0,86.0,38.0,,
18,6,20,0.14285,2,44,14,Hornqvist,0,39,8471887,-3,32,0.72727,R,8,12,20202021,0,0,0.09655,R,145,Patric Hornqvist,FLA,1007.0,20202021,0,46,39.0,2020,180.0,86.0,33.0,0.0,230.0
13,7,15,,1,35,7,Werenski,1,13,8478460,-9,20,0.57142,D,0,5,20202021,0,0,0.0886,L,79,Zach Werenski,CBJ,1461.5428,20202021,0,47,107.0,2020,188.0,97.0,23.0,0.0,8.0
14,4,13,,0,43,6,Dunn,0,18,8478407,-8,20,0.46511,D,2,7,20202021,0,0,0.08219,L,73,Vince Dunn,STL,1154.9534,20202021,0,46,77.0,2020,183.0,91.0,24.0,0.0,56.0
16,1,9,0.49744,1,21,2,Eichel,0,6,8478403,-9,18,0.85714,C,1,9,20202021,0,0,0.03278,R,61,Jack Eichel,BUF,1229.8571,20202021,0,20,39.0,2020,188.0,94.0,24.0,0.0,2.0
72,24,68,0.49529,11,56,33,McDavid,2,20,8478402,21,105,1.875,C,9,37,20202021,0,0,0.165,L,200,Connor McDavid,EDM,1329.2142,20202021,3,147,170.0,2020,185.0,88.0,23.0,0.0,1.0
9,4,11,0.46511,0,51,4,Crouse,0,46,8478474,-10,13,0.2549,L,0,2,20202021,0,0,0.05714,L,70,Lawson Crouse,ARI,857.8235,20202021,0,17,57.0,2020,193.0,97.0,23.0,0.0,11.0
11,4,12,,1,47,4,Hanifin,0,18,8478396,-2,15,0.31914,D,0,3,20202021,0,0,0.04494,L,89,Noah Hanifin,CGY,1200.7234,20202021,0,34,106.0,2020,191.0,93.0,23.0,0.0,5.0
8,16,22,0.2,7,56,18,Vatrano,3,26,8478366,8,26,0.46428,R,2,4,20202021,0,0,0.11392,L,158,Frank Vatrano,FLA,870.9821,20202021,0,44,50.0,2020,180.0,92.0,26.0,,
14,15,26,0.11764,4,56,18,Mangiapane,0,24,8478233,1,32,0.57142,L,2,5,20202021,1,1,0.1978,L,91,Andrew Mangiapane,CGY,1000.0892,20202021,0,50,90.0,2020,178.0,83.0,24.0,0.0,166.0
5,3,8,0.30769,0,26,3,Hunt,0,4,8478211,-6,8,0.30769,L,0,0,20202021,0,0,0.07692,L,39,Dryden Hunt,ARI,718.3461,20202021,0,11,23.0,2020,183.0,88.0,25.0,,
30,8,26,,2,55,12,Petry,0,20,8473507,6,42,0.76363,D,4,15,20202021,0,1,0.09375,R,128,Jeff Petry,MTL,1364.2545,20202021,0,96,60.0,2020,191.0,94.0,33.0,0.0,45.0
7,3,10,0.0,1,50,4,Clutterbuck,0,10,8473504,-5,11,0.22,R,0,0,20202021,1,1,0.08,R,50,Cal Clutterbuck,NYI,806.18,20202021,0,15,21.0,2020,180.0,98.0,33.0,0.0,72.0
13,8,21,0.27272,0,56,10,Lucic,0,46,8473473,-8,23,0.41071,L,2,2,20202021,0,0,0.13513,L,74,Milan Lucic,CGY,817.6964,20202021,0,33,31.0,2020,191.0,107.0,32.0,0.0,50.0
7,1,7,0.38805,1,33,1,Komarov,0,15,8473463,7,8,0.24242,R,0,0,20202021,0,1,0.03703,L,27,Leo Komarov,NYI,769.9393,20202021,0,9,0.0,2020,180.0,93.0,33.0,0.0,180.0
5,3,8,0.57894,1,56,5,Lewis,0,2,8473453,7,10,0.17857,C,0,0,20202021,2,2,0.07352,R,68,Trevor Lewis,WPG,591.6428,20202021,0,15,22.0,2020,185.0,93.0,33.0,0.0,17.0
2,2,3,0.625,1,8,2,Zohorna,0,4,8482241,4,4,0.5,L,0,1,20202021,0,0,0.25,L,8,Radim Zohorna,PIT,541.75,20202021,0,6,8.0,2020,198.0,100.0,24.0,,
5,2,7,,1,22,3,Barabanov,0,6,8482222,1,8,0.36363,L,1,1,20202021,0,0,0.13043,L,23,Alexander Barabanov,"TOR,SJS",738.7272,20202021,0,11,49.0,2020,178.0,88.0,26.0,,
1,0,1,,0,7,0,Meloche,0,0,8478467,1,1,0.14285,D,0,0,20202021,0,0,0.0,R,6,Nicolas Meloche,SJS,575.4285,20202021,0,2,16.0,2020,191.0,92.0,23.0,0.0,40.0
7,13,20,0.5,3,42,13,Sprong,0,12,8478466,7,20,0.47619,R,0,0,20202021,0,0,0.17567,R,74,Daniel Sprong,WSH,700.119,20202021,0,33,34.0,2020,183.0,88.0,23.0,0.0,46.0
